FA104,Abattoirs,
NA102,Abortion Advice,
KB106,Abrasive Products – Mnfrs & Distributors,
WA104,Abrasive Products – Wholesalers,
PB102,Access Consultants,
KB243,Access Control Systems,
KB418,Access Equipment,
UA101,Accident Management,
PA104,Accommodation Address Agents,
LA120,"Accountants – Firms, All (Selectable by no.of Employees)",
LA124,Accounting & Book-Keeping Services,
PB104,Acoustic Consultants,
PB108,Acoustic Engineers,
LA128,Actuaries,
NA104,Acupuncture Practitioners,
NA105,Addiction Rehabilitation & Treatment,
KB781,Adhesive Tapes,
KB172,"Adhesives, Glues & Sealants",
NA108,Adoption & Fostering,
EA100,Adult Education Centres,
AA104,Advertising – Directories,
AA108,Advertising – Media,
AA112,Advertising – Outdoor,
A0,Advertising & Promotion Cos. – Total List,
AA116,Advertising Agencies – All,
AA120,Advertising Agencies – Leading,
AA124,Advertising Services,
AA128,Aerial Surveys & Photographers,
KB729,Aeronautical Instrument Makers,
KB175,Aerosols,
EA103,After School Care,
TA104,Agricultural Buildings,
TC104,Agricultural Contractors,
PB112,Agricultural Engineers,
WB104,Agricultural Machinery – Sales & Service,
WA108,Agricultural Merchants,
FA106,Agricultural Services,
KB421,Agricultural Vehicles,
NA110,Air Ambulance Services,
KB424,Air Compressors,
TC108,Air Conditioning & Refrigeration Contractors,
PB116,Air Conditioning Consultants,
KB427,Air Conditioning Equipment & Systems,
KB430,Air Purification Equipment,
PB117,Air Tightness Testing,
UA104,Aircraft – Services For,
UA108,"Aircraft Charter, Renting & Leasing",
UA116,Airfreight Services,
UA120,Airline Services,
UA124,Airline Ticket Agencies,
UA128,Airlines,
UA132,Airport Transfer & Transportation Services,
UA136,Airports,
NA112,Alcohol Misuse – Advice & Counselling,
NA116,Alexander Technique,
MKC100,All Businesses in the Megabase,
MKC101,All Commercial Businesses,
NA118,Allergy Testing,
KB100,Alloys,
NA120,Alternative & Complementary Medicines & Therapies,
KA337,Aluminium Fabricators,
WA112,Aluminium Stockholders,
NA124,Ambulance Services,
KB244,Amusement Machines,
SA104,Amusement Parks & Arcades,
SA108,Angling & Sports Fishing,
KB331,Animal By-Products,
UA140,Animal Carrier Services,
FA110,Animal Welfare Organisations,
KA340,Anodisers,
RA104,Antique Dealers,
TB108,Antiques – Repairing & Restoring,
RA108,Aquarium & Pond Supplies,
KA745,Aquarium & Vivarium Tank & Accessory Mnfrs,
LA132,Arbitrators,
FA111,Arboricultural,
PB118,Archaeologists,
WA114,Architectural Ironmongers,
PA120,Architectural Practices – 10 Plus Employees,
PA124,Architectural Practices – 20 Plus Employees,
PA112,Architectural Practices – All (Selectable by any no. of Employees),
PA128,Architectural Services,
PA132,Architectural Technologists,
PA136,Architectural Woodwork,
GA108,Armed Forces – Recruiting,
GA112,Armed Services – Reserve Forces,
RA110,Army Surplus Stores,
NA128,Aromatherapy,
RA112,Art & Craft Materials,
SA102,Art Galleries & Fine Art Dealers,
TB109,Art Restoration & Picture Cleaning,
KB708,Artificial Grass Suppliers,
AA132,Artists & Illustrators,
SA109,Arts,
SA103,Arts Centres,
UA142,Arts Transportation & Storage,
TA108,Asbestos Surveys & Removal,
TA112,Asphalt & Coated Macadam Laying Contractors,
TA116,Asphalt & Macadam Suppliers,
GA116,Assembly Members,
LA136,Assessors,
CC0,Associations & Organisations – Total List,
CB100,Astrologers,
SA111,Attractions,
CB103,Au Pair Agencies,
PA140,Auctioneers & Valuers,
KB247,Audio-Visual Equipment & Supplies,
AA136,Audio-Visual Production & Presentation Services,
LA140,Auditors,
UA144,Auto Electricians,
UA146,Auto Locksmiths,
WA115,Autogas Suppliers & Installers,
KB730,Automation Systems & Equipment,
MKC107,Automotive Industry,
PB120,Aviation Consultants,
PB124,Aviation Engineers,
UA148,Aviation Supplies,
CA103,Axle Supplies & Services,
KB931,Baby & Nursery Equipment,
CB105,Baby Shower Services,
CB106,Baby Sitters,
NA131,Back Care,
KB334,Bacon & Ham Curers & Merchants,
KB784,Badges & Emblems,
KB664,"Bags – Paper, Plastic & Fabric – Suppliers",
KB787,"Bags, Belts & Accessories – Mnfrs & Suppliers",
LA142,Bailiffs,
WA117,Bakers – Wholesale,
RA116,Bakers’ Shops,
KB337,Bakery & Confectionery Supplies,
KB433,Bakery Equipment Mnfrs & Suppliers,
EA106,Ballet Schools,
UA152,Balloons – Hot Air,
RA120,Balloons – Novelty,
B0,Banking & Financial Services – Total List,
BA104,Banks & Other Financial Institutions,
CA106,Bar Code Products & Services,
KB364,Bar Equipment & Accessories,
TC112,Bar Fitters,
RA123,Barbecue Equipment & Supplies,
RA124,Barbers,
LA144,Barristers,
HA104,Bars-Mobile,
TC116,Bath Resurfacing,
KB436,Bathroom Equipment & Fittings,
KA346,Bathroom Fixtures – Mnfrs,
TC117,Bathroom Installation & Supply,
RA128,Bathroom Planners & Furnishers,
KA205,Battery Mnfrs,
KB250,Battery Suppliers,
RA130,Beads,
KA349,Bearing Mnfrs,
WA116,Bearings Stockists,
CB107,Beauticians – Mobile,
PB128,Beauty Consultants & Specialists,
RA132,Beauty Products,
RA136,Beauty Salons,
EA109,Beauty Schools,
HA106,Bed & Breakfast,
KA271,Bed & Mattress Mnfrs,
RA140,Bedroom Planners & Furnishers,
RA144,"Beds, Bedding & Blankets",
FA112,Beekeeping,
KA580,Belting Mnfrs,
GA120,Benefits Agency,
NA130,Bereavement Counselling,
SA112,Bingo Halls,
KB733,Binoculars & Telescopes,
GA124,"Births, Marriages & Deaths",
KA238,Biscuit Mnfrs,
KA352,Blacksmiths & Forgemasters,
KA355,Blast Cleaning,
KA358,Blast Cleaning Equipment Mnfrs,
KB934,"Blinds, Awnings & Canopies",
NA132,Blood Donor Services,
NA134,Blood Services,
FA124,Blood Stock Agents,
FA128,Boarding Kennels & Catteries,
TC118,Boat Cleaning Services,
UA162,Boat Deliverers,
UA156,Boat Equipment & Accessories,
SA114,"Boat Trips, Rental & Leasing",
KB892,Boatbuilders & Repairers,
UA164,Boats – Sales,
NA129,Body Toning Studios,
KA361,Boiler Mnfrs,
TB116,"Boilers – Servicing, Replacements & Repairs",
KA535,Book Publishers,
KA538,Bookbinding & Equipment,
SA124,Bookmakers,
RA152,Books – Rare & Secondhand,
RA156,Booksellers,
NA135,Botox Treatment,
KB109,Bottle Mnfrs & Suppliers,
KA243,Bottlers,
KB445,Bottling Machinery & Equipment,
SA128,Bouncing Castles & Inflatables Hire,
NA133,Bowen Therapy,
SA132,Bowling Centres,
KB667,Boxes & Cartons,
KA364,Brake & Clutch Mnfrs,
UA168,Brake & Clutch Service Centres,
KA367,Brass & Copper Mnfrs & Suppliers,
KA370,Brassware Mnfrs,
UA170,Breakdown & Recovery,
FA129,Breeders & Dealers – Birds,
FA130,Breeders & Dealers – Horses,
FA131,Breeders & Dealers – Other,
KA241,Brewers,
KB338,Brewery Supplies,
WA128,Brick Merchants,
KA145,Brick Mnfrs,
KA07,"Brick, Pottery & Glass Mfrs – Total List",
KB07,"Brick, Pottery & Glass Mfrs & Suppliers – Total List",
TA120,Bricklaying,
RA160,Bridal Shops,
CA111,Broadband Services,
CA112,Broadcasting Services,
KA274,Brush Mnfrs,
TA124,Builders,
WA132,Builders’ Merchants,
KA373,Builders’ Tools & Equipment Mnfrs,
TA0,Building & Construction – Total List,
TA102,Building & Construction Cos. – 50 plus employees,
TA126,Building & Extension Plans,
KB112,Building Block Mnfrs & Distributors,
PB132,Building Consultants,
CA115,Building Information Services,
TA128,Building Refurbishment & Restoration Contractors,
TA132,Building Services,
BA112,Building Societies & Other Financial Institutions,
TA136,Buildings – Sectional & Portable,
FA132,Bulb Growers & Suppliers,
BA120,Bullion Dealers,
SA134,Bungee Jumping,
BA124,Bureaux De Changes,
KB253,Burglar & Intruder Alarm Systems,
